1, 5000, 1028.59, 4.448, 231.248
6, 5000, 161.503, 5.826, 27.7211
11, 5000, 156.943, 8.233, 19.0627
16, 5000, 160.691, 10.012, 16.0498
21, 5000, 158.584, 10.995, 14.4233
26, 5000, 150.151, 15.408, 9.745
31, 5000, 144.504, 14.508, 9.9603
36, 5000, 142.78, 18.686, 7.64101
41, 5000, 134.312, 20.271, 6.62582
46, 5000, 131.594, 20.941, 6.28404
51, 5000, 133.365, 24.186, 5.51414
56, 5000, 129.05, 25.347, 5.09133
61, 5000, 125.729, 28.418, 4.42427
66, 5000, 129.608, 29.537, 4.38799
71, 5000, 129.827, 31.646, 4.10248
76, 5000, 130.085, 33.892, 3.83822
81, 5000, 127.445, 35.601, 3.57982
86, 5000, 130.308, 37.878, 3.4402
91, 5000, 129.519, 39.938, 3.243
96, 5000, 128.381, 42.092, 3.05001
101, 5000, 126.226, 46.991, 2.68617
106, 5000, 129.793, 44.42, 2.92195
111, 5000, 131.995, 48.846, 2.70227
116, 5000, 135.129, 48.585, 2.78129
121, 5000, 129.209, 51.636, 2.5023
126, 5000, 131.813, 53.581, 2.46007
131, 5000, 132.594, 53.746, 2.46705
136, 5000, 129.15, 62.645, 2.06162
141, 5000, 127.682, 59.608, 2.14203
146, 5000, 128.064, 65.855, 1.94464
151, 5000, 130.621, 63.505, 2.05686
156, 5000, 132.734, 69.224, 1.91746
161, 5000, 128.513, 67.509, 1.90364
166, 5000, 135.978, 73.388, 1.85286
171, 5000, 131.241, 74.391, 1.76421
176, 5000, 131.062, 74.976, 1.74805
181, 5000, 126.999, 76.91, 1.65127
186, 5000, 127.801, 79.74, 1.60272
191, 5000, 129.789, 85.432, 1.51921
196, 5000, 128.404, 89.197, 1.43956
201, 5000, 126.175, 86.841, 1.45294
206, 5000, 128.54, 92.136, 1.39511
211, 5000, 128.851, 86.307, 1.49294
216, 5000, 127.684, 87.484, 1.45951
221, 5000, 132.875, 92.53, 1.43602
226, 5000, 129.796, 95.498, 1.35915
231, 5000, 128.7, 98.972, 1.30037
236, 5000, 130.63, 99.598, 1.31157
241, 5000, 129.645, 100.743, 1.28689
246, 5000, 127.533, 103.773, 1.22896
251, 5000, 127.136, 106.863, 1.18971
256, 5000, 130.314, 106.248, 1.22651
261, 5000, 125.428, 111.074, 1.12923
266, 5000, 131.154, 110.967, 1.18192
271, 5000, 131.575, 117.208, 1.12258
276, 5000, 129.883, 116.705, 1.11292
281, 5000, 133.641, 115.933, 1.15274
286, 5000, 130.584, 120.171, 1.08665
291, 5000, 133.678, 126.479, 1.05692
296, 5000, 133.307, 124.118, 1.07403
301, 5000, 130.691, 124.92, 1.0462
306, 5000, 126.261, 126.164, 1.00077
311, 5000, 129.711, 126.236, 1.02753
316, 5000, 128.371, 132.328, 0.970097
321, 5000, 130.753, 131.996, 0.990583
326, 5000, 128.515, 134.771, 0.953581
331, 5000, 129.567, 147.567, 0.878022
336, 5000, 128.365, 145.409, 0.882786
341, 5000, 129.898, 142.719, 0.910166
346, 5000, 127.05, 143.212, 0.887146
351, 5000, 134.088, 148.124, 0.905242
356, 5000, 131.792, 144.451, 0.912365
361, 5000, 129.712, 152.84, 0.848678
366, 5000, 127.604, 153.495, 0.831323
371, 5000, 127.722, 160.391, 0.796317
376, 5000, 133.251, 152.634, 0.87301
381, 5000, 127.738, 157.916, 0.808898
386, 5000, 128.314, 158.718, 0.80844
391, 5000, 131.858, 162.126, 0.813306
396, 5000, 127.753, 166.391, 0.767788
401, 5000, 130.26, 167.22, 0.778974
406, 5000, 127.728, 164.762, 0.775227
411, 5000, 128.69, 175.81, 0.731983
416, 5000, 129.763, 174.127, 0.74522
421, 5000, 135.428, 178.369, 0.759257
426, 5000, 130.711, 175.894, 0.743124
431, 5000, 128.699, 178.031, 0.722902
436, 5000, 131.791, 182.83, 0.720839
441, 5000, 132.344, 180.259, 0.734188
446, 5000, 127.149, 189.273, 0.671776
451, 5000, 129.302, 185.549, 0.696862
456, 5000, 125.783, 187.025, 0.672546
461, 5000, 135.23, 189.213, 0.714697
466, 5000, 132.283, 189.609, 0.697662
471, 5000, 129.209, 195.919, 0.659502
476, 5000, 135.485, 198.187, 0.683622
481, 5000, 126.207, 195.064, 0.647003
486, 5000, 130.391, 200.591, 0.650034
491, 5000, 132.857, 202.014, 0.657662
496, 5000, 132.11, 209.299, 0.631202